ID,Sports,Interview Text,Speaker,Type,Labels
1,Tennis," I don't know, I can't really think of anything.  I just been playing a little golf and producing a baby and that is all, really.  Just stay home.",MATS WILANDER,Individual,7
2,Tennis," No, and don't tell me what is going on. I don't and don't tell me what is going on.  Please.",JIM COURIER,Individual,7
3,Golf,"  Yeah, I think I'm always pretty good no matter if we have fans or not.  I always talk about staying in my bubble, and that term has really got a different meaning this year.",PERNILLA LINDBERG,Individual,2
4,Baseball,"I was going to say, Marcus over here was in the finals of the MVP of the American League, and here you are sitting here first Team. Does this validate the season you put together?",HAROLD REYNOLDS,Team,4
5,Golf," Obviously today was more of a grind than last Thursday.  But still, still saw some good scores, obviously not as many as we saw last week.",DAVID TOMS,Individual,2
6,Tennis,"Yeah, I think she was tired in the third set and she -- when she start -- when I start to play, you know, longer points she was really tired.",LEILA MESKHI,Individual,2
7,Baseball,"Yeah, Zack's preparation is probably the best in the game. There's a couple of guys here, too, as well, with Max and Stras and An??̻bal, those guys as well.",PATRICK CORBIN,Team,2
8,Golf," I managed to hit some of my shots close, and the ones that I didn't I managed to save par.",MATILDA CASTREN,Individual,2
9,Basketball,"  Yeah, he's just battling through the heel.  He was struggling to move a little bit but toughed it out, and we'll see how he feels tomorrow.",FRANK VOGEL,Team,3
10,Tennis, It is like during the Wimbledon -- before the main game she was practicing and she injured at the Wimbledon.,KIMIKO DATE,Individual,3
11,Lacrosse,"Yeah, I mean, having them go out there and be aggressive, a lot of the credit goes to the scout defense.  Day-in and day-out they gave us a great look.",COLIN HEACOCK,Team,1
12,Tennis, I can't say that I turned it up because he doublefaulted three times.  I wish I could take credit for turning it up.,JIM COURIER,Individual,2
13,Auto Racing,"  It's unusual.  It's rare that you would dominate the 500 the way we did, support a single driver to win the drivers championship, then bring home the manufacturers trophy.",TED KLAUS,Blended,2
14,Auto Racing,"I feel great. We've had good speed. I look at Vegas, if we didn't get the damage, get trapped down a lap there for a minute, we were really good there, capable of winning.",JOEY LOGANO,Blended,2
15,Tennis," It's just about fairest match I play. Today I was expected to do win, I came through, I'm expected to win tomorrow and I'll go out and do what I do and hopefully things work out.",PETE SAMPRAS,Individual,2
16,Tennis, We just said that we are going to make a couple of tournaments before the Open and the Open.  We didn't talk afterwards.,BORIS BECKER,Individual,6
17,Golf,"You obviously love your chances, you've won it twice before, what is it about that makes this event so special?",COLIN CALLANDER,Individual,6
18,Volleyball,It's not a bad four-year run. It almost feels like it got started against us a few years ago at our place. And they've had their foot on the gas pedal ever since.,KELLY SHEFFIELD,Team,5
19,Basketball,"  I had so much champagne, I don't even remember what I said to my dad.  Probably I love him.  He's proud of me and I told him this is why we work, this is why we grind.  He congratulated me.",ANTHONY DAVIS,Team,5
20,Golf,"  I hit pretty good tee shot and I have like 195 and it's like downwind, so I hit 6-iron and I have 20 feet and make the putt.",ARIYA JUTANUGARN,Individual,2
21,Football,"  I don't think Andre lacked anything.  I think Andre has all of the tools to be a great player, and he is a great player.",JOSH HEUPEL,Team,2
22,Baseball,Absolutely. We're all about winning it all. That's what we're all about. That's what fan base is all about. I think we're going to field the Team that gives us the best opportunity to do that.,MIKE RIZZO,Team,5
23,Tennis," Last year I was here watching a little bit, yeah.  The year before, I am not sure, I might have been here too watching it.  I don't know.",MATS WILANDER,Individual,7
24,Tennis," Yeah, two weeks have been just great. No one expect me to go to the quarterfinal, it has been great two weeks.  I am happy that I won. After all, I am very satisfied.",MAGNUS LARSSON,Individual,2
25,Tennis," You know, played very well the.  He gave me the opportunities; I took them.  That is why I played well.",CARLOS COSTA,Individual,2
26,Volleyball,"First of all, congratulations to Stanford. They played a great match tonight. And for our group, obviously disappointing for this season to come to an end after so many adventures that we went on together.",HUGH MCCUTCHEON,Team,5
27,Football,"  No.  This Team does not get nervous.  We are a very poised, confident group.  We are prepared to go out and play each and every game, and this week is no different.",JOSH HEUPEL,Team,5
28,Baseball,"I was trying to put away the hitter. For me something very big because that hitter is very big right now, he's on fire. And it's taking something special for me. And it was very good.",JOSE URQUIDY,Team,2
29,Auto Racing,"I mean, I think certainly early in the season that was a major factor. As the season has progressed, it's become less and less of a factor, but it's because we've had to adjust how we do business.",ADAM STEVENS,Blended,2
30,Baseball,"We've been talking a lot. Talk a little bit about baseball, talk about his workouts, and other stuff. He's in a good place.",ALEX CORA,Team,7
31,Golf,"  Yeah, absolutely.  It's gorgeous out here.  Really made it super fun having so many people watch, even though it wasn't official spectators.",MATILDA CASTREN,Individual,7
32,Lacrosse,"I'm not thinking.  That's something that me and Matt have connected on before.  Incredible look by Matt, and I just had to do the easiest part and put it in the back of the net.",IAN LAVIANO,Team,1
33,Golf," Why, because they are all so good and they have done so many good things in golf.  They have won so many tournaments, their golf game is just close to perfection, so of course I am intimidated.",GWLADYS NOCERA,Individual,2
34,Tennis," Yeah, yeah, it's much better with my technique.  It's much better and now on I knew on hardcourt I couldn't play good.  I could play good, but now, I'm sure.",CEDRIC PIOLINE,Individual,2
35,Auto Racing,"I think it made a difference. We ran second, led some laps, ran second all day. We were just a little bit off on speed from the 18 I felt like.",MARTIN TRUEX JR.,Blended,2
36,Baseball,"Yeah, it just depends on what type of hitter you are. Some people stick to your approach. Some people try to play along a little bit and kind of get a step ahead of him.",ADAM EATON,Team,2
37,Golf,  I felt like that a little bit.  I notice that Ally would always make it on top of me so I thought I was good motivation for her.,LINDSEY WEAVER,Individual,5
38,Golf,"  Oh, my God.  (Laughs) I'm done.  It was a struggle today, especially off the tee.  I think I was spending more time with the crowd than I was inside the ropes today.  So being very fan friendly today.",LISELOTTE NEUMANN,Individual,2
39,Baseball,"This is something that, like I said, he came in yesterday and felt it a little bit and had these little spasms. Today he woke up and it was a lot worse.",DAVE MARTINEZ,Team,3
